precipi,precipm,datetime
0.20,5.1,"2011-11-22 21:51:00"
0.04,1.0,"2011-11-22 22:10:00"
0.07,1.8,"2011-11-22 22:21:00"
0.12,3.0,"2011-11-22 22:47:00"
0.13,3.3,"2011-11-22 22:51:00"
0.13,3.3,"2011-11-22 23:51:00"
0.07,1.8,"2011-11-23 00:20:00"
0.08,2.0,"2011-11-23 00:29:00"
0.11,2.8,"2011-11-23 00:51:00"
0.04,1.0,"2011-11-23 01:51:00"
0.04,1.0,"2011-11-23 01:58:00"
0.05,1.3,"2011-11-23 02:06:00"
0.05,1.3,"2011-11-23 02:51:00"
0.00,0.0,"2011-11-23 03:05:00"
0.01,0.3,"2011-11-23 03:37:00"
0.01,0.3,"2011-11-23 03:51:00"
0.00,0.0,"2011-11-23 04:30:00"
0.00,0.0,"2011-11-23 04:44:00"
0.01,0.3,"2011-11-23 04:51:00"
0.01,0.3,"2011-11-23 04:58:00"
0.10,2.5,"2011-11-23 05:24:00"
0.12,3.0,"2011-11-23 05:31:00"
0.12,3.0,"2011-11-23 05:36:00"
0.13,3.3,"2011-11-23 05:51:00"
0.01,0.3,"2011-11-23 06:14:00"
0.02,0.5,"2011-11-23 06:41:00"
0.02,0.5,"2011-11-23 06:51:00"
0.01,0.3,"2011-11-23 07:11:00"
0.01,0.3,"2011-11-23 07:39:00"
0.01,0.3,"2011-11-23 07:46:00"
0.00,0.0,"2011-11-23 09:51:00"
0.00,0.0,"2011-11-23 11:51:00"
0.00,0.0,"2011-11-23 12:02:00"
0.08,2.0,"2011-11-23 12:29:00"
